conv1_1.weight,conv1.0.weight
conv1_1.bias,conv1.0.bias
conv1_2.weight,conv1.2.weight
conv1_2.bias,conv1.2.bias
conv2_1.weight,conv2.0.weight
conv2_1.bias,conv2.0.bias
conv2_2.weight,conv2.2.weight
conv2_2.bias,conv2.2.bias
conv3_1.weight,conv3.0.weight
conv3_1.bias,conv3.0.bias
conv3_2.weight,conv3.2.weight
conv3_2.bias,conv3.2.bias
conv4_1.weight,conv4.0.weight
conv4_1.bias,conv4.0.bias
conv4_2.weight,conv4.2.weight
conv4_2.bias,conv4.2.bias
conv5_1.weight,conv5.0.weight
conv5_1.bias,conv5.0.bias
conv5_2.weight,conv5.2.weight
conv5_2.bias,conv5.2.bias
upv6.weight,up6.weight
upv6.bias,up6.bias
conv6_1.weight,conv6.0.weight
conv6_1.bias,conv6.0.bias
conv6_2.weight,conv6.2.weight
conv6_2.bias,conv6.2.bias
upv7.weight,up7.weight
upv7.bias,up7.bias
conv7_1.weight,conv7.0.weight
conv7_1.bias,conv7.0.bias
conv7_2.weight,conv7.2.weight
conv7_2.bias,conv7.2.bias
upv8.weight,up8.weight
upv8.bias,up8.bias
conv8_1.weight,conv8.0.weight
conv8_1.bias,conv8.0.bias
conv8_2.weight,conv8.2.weight
conv8_2.bias,conv8.2.bias
upv9.weight,up9.weight
upv9.bias,up9.bias
conv9_1.weight,conv9.0.weight
conv9_1.bias,conv9.0.bias
conv9_2.weight,conv9.2.weight
conv9_2.bias,conv9.2.bias
conv10_1.weight,conv10.weight
conv10_1.bias,conv10.bias
